place,latitude,longitude
Acqui,44.6764,8.467
Antrodoco,42.4211,13.0805
Aquileia,45.7682,13.3687
Beauvais,49.4295,2.0807
Benevento,41.1298,14.7826
Bouillon,49.7947,5.0708
Budapest,47.4979,19.0402
Cagliari,39.2238,9.1217
Canossa,44.5751,10.4551
Canterbury,51.2802,1.0789
Carthage,36.8529,10.3217
Chalon sur Saone,46.7808,4.8539
Chalons-en-Champagne,48.9567,4.3631
Chartres,48.4439,1.489
Cluny,46.429,4.6646
Cologne,50.9375,6.9603
Como,45.8081,9.0852
Copenhagen,55.6761,12.5683
Die,44.751,5.3705
Florence,43.7696,11.2558
Genoa,44.4056,8.9463
Imola,44.36,11.7124
Istanbul,41.0082,28.9784
Konstanz,47.6779,9.1732
Le Puy,45.0428,3.8829
Leon,42.5987,5.5671
Lincoln,53.2307,-0.5406
London,51.5074,-0.1278
Lucca,43.8429,10.5027
Lyon,45.764,4.8357
Magdeburg,52.1205,11.6276
Mainz,49.9929,8.2473
Marseille,43.2965,5.3698
Metz,49.1193,6.1757
Milan,45.4642,9.19
Monte Cassino,41.4916,13.8159
Nimes,43.8367,4.3601
Olomouc ,49.5938,17.2509
Paris,48.8566,2.3522
Pavia,45.1847,9.1582
Poitiers,46.5802,0.3404
Prague,50.0755,14.4378
Ragusa,36.9269,14.7255
Ravenna,44.4184,12.2035
Reims,49.2583,4.0317
Rome,41.9028,12.4964
Roucy,49.3703,3.8132
Saint-Sever,43.7591,0.5742
Salerno,40.6824,14.7681
Salzburg,47.8095,13.055
Sisteron,44.1947,5.9432
Tarbes,43.233,0.0781
Tortona,44.8952,8.8633
Turin,45.0703,7.6869
Verona,45.4384,10.9916
Zaragoza,41.6488,0.8891
Laurentum,41.7111,12.3469
Albano,41.7285,12.6589
Capua,41.1061,14.213
San Germano,45.3499,8.2471
argentea ,44.6171,11.8369
Terracina,41.2964,13.2333
Piperno,41.8925,12.4757
Sezze,41.4994,13.0618
